,0
2021-10-28,1000000.0
2021-10-29,1000000.0
2021-10-30,1000000.0
2021-10-31,1000000.0
2021-11-01,1000000.0
2021-11-02,993833.1932178691
2021-11-03,993833.1932178691
2021-11-04,983024.0615161244
2021-11-05,983024.0615161244
2021-11-06,983024.0615161244
2021-11-07,983024.0615161244
2021-11-08,983024.0615161244
2021-11-09,983024.0615161244
2021-11-10,983024.0615161244
2021-11-11,983024.0615161244
2021-11-12,983024.0615161244
2021-11-13,983024.0615161244
2021-11-14,983024.0615161244
2021-11-15,974793.5019540706
2021-11-16,974793.5019540706
2021-11-17,974793.5019540706
2021-11-18,974793.5019540706
2021-11-19,974793.5019540706
2021-11-20,974793.5019540706
2021-11-21,974793.5019540706
2021-11-22,974793.5019540706
2021-11-23,974793.5019540706
2021-11-24,974793.5019540706
2021-11-25,974793.5019540706
2021-11-26,974793.5019540706
2021-11-27,974793.5019540706
2021-11-28,974793.5019540706
2021-11-29,974793.5019540706
2021-11-30,974793.5019540706
2021-12-01,974793.5019540706
2021-12-02,967709.6290186166
2021-12-03,960268.3203108031
2021-12-04,960268.3203108031
2021-12-05,954068.0104199069
2021-12-06,954068.0104199069
2021-12-07,954068.0104199069
2021-12-08,954068.0104199069
2021-12-09,954068.0104199069
2021-12-10,954068.0104199069
2021-12-11,954068.0104199069
2021-12-12,954068.0104199069
2021-12-13,954068.0104199069
2021-12-14,954068.0104199069
2021-12-15,954068.0104199069
2021-12-16,954068.0104199069
2021-12-17,954068.0104199069
2021-12-18,954068.0104199069
2021-12-19,954068.0104199069
2021-12-20,954068.0104199069
2021-12-21,954068.0104199069
2021-12-22,954068.0104199069
2021-12-23,954068.0104199069
2021-12-24,954068.0104199069
2021-12-25,954068.0104199069
2021-12-26,954068.0104199069
2021-12-27,954068.0104199069
2021-12-28,954068.0104199069
2021-12-29,949617.0567901685
2021-12-30,949617.0567901685
2021-12-31,949617.0567901685
2022-01-01,949617.0567901685
2022-01-02,949617.0567901685
2022-01-03,940779.2857999351
2022-01-04,940779.2857999351
2022-01-05,940779.2857999351
2022-01-06,940779.2857999351
2022-01-07,940779.2857999351
2022-01-08,931121.2550507404
2022-01-09,931121.2550507404
2022-01-10,931121.2550507404
2022-01-11,931121.2550507404
2022-01-12,931121.2550507404
2022-01-13,931121.2550507404
2022-01-14,931121.2550507404
2022-01-15,925133.2883188592
2022-01-16,925133.2883188592
2022-01-17,925133.2883188592
2022-01-18,918066.2949125064
2022-01-19,918066.2949125064
2022-01-20,917455.4573566807
2022-01-21,917455.4573566807
2022-01-22,917455.4573566807
2022-01-23,917455.4573566807
2022-01-24,917455.4573566807
2022-01-25,917455.4573566807
2022-01-26,917455.4573566807
2022-01-27,912476.3685499802
2022-01-28,912476.3685499802
2022-01-29,899657.72607127
2022-01-30,899657.72607127
2022-01-31,899657.72607127
2022-02-01,899657.72607127
2022-02-02,899657.72607127
2022-02-03,887429.0815105955
2022-02-04,887429.0815105955
2022-02-05,887429.0815105955
2022-02-06,887429.0815105955
2022-02-07,887429.0815105955
2022-02-08,887429.0815105955
2022-02-09,887429.0815105955
2022-02-10,887429.0815105955
2022-02-11,887429.0815105955
2022-02-12,887429.0815105955
2022-02-13,887429.0815105955
2022-02-14,887429.0815105955
2022-02-15,887429.0815105955
